"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 25 16:25:09 IST 2021","Mon Oct 25 16:25:14 IST 2021","5013","","Launch the Volvo Home Page","","Launch the Volvo Home Page","Verify the Volvo Experience Page is launched","Verify the Volvo Experience Page is launched",""
"broken","Mon Oct 25 16:24:54 IST 2021","Mon Oct 25 16:25:09 IST 2021","15916","","Launch the Volvo Home Page","","Launch the Volvo Home Page","Verify the Service and Repair Page is launched","Verify the Service and Repair Page is launched",""
